LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 3d WCA system, random initial configuration

#variable density equal 0.5
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.01
variable tau equal 100*${dt}
variable tau equal 100*0.01
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.01
variable equil_steps equal 50000
variable run_steps equal 100000

units           lj
atom_style      atomic
dimension       3

lattice         fcc ${density}
lattice         fcc 0.9
Lattice spacing in x,y,z = 1.6441414 1.6441414 1.6441414
region          box block 0 8 0 8 0 8
# number of atom types
create_box      1 box
Created orthogonal box = (0 0 0) to (13.153131 13.153131 13.153131)
  2 by 1 by 2 MPI processor grid
create_atoms    1 box
Created 2048 atoms
  using lattice units in orthogonal box = (0 0 0) to (13.153131 13.153131 13.153131)
  create_atoms CPU = 0.001 seconds
mass 1 1.0

velocity all create ${initial_temperature} 99999
velocity all create 3 99999

pair_style      lj/cut 1.0
#type_1 type_2 epsilon sigma cutoff
pair_coeff      1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.01
thermo ${thermo_time}
thermo 500

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 1
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 21 21 21
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.103 | 3.103 | 3.103 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
     84000   2.0273348      0.84926525     0              3.8887826      12.723889    
     84500   2.0195787      0.77127278     0              3.7991616      12.053763    
     85000   1.9854332      0.83927411     0              3.8159697      12.53826     
     85500   2.0151319      0.81530553     0              3.8365275      12.442726    
     86000   2.0012832      0.82992294     0              3.830382       12.65298     
     86500   1.9473753      0.81678788     0              3.7364245      12.319889    
     87000   1.8924283      0.76940699     0              3.6066634      11.908321    
     87500   1.8484634      0.77938013     0              3.5507214      11.897923    
     88000   1.837611       0.75130631     0              3.5063768      11.826642    
     88500   1.8624392      0.70759893     0              3.4998936      11.307679    
     89000   1.8712978      0.76863474     0              3.5742109      11.657365    
     89500   1.8673497      0.75892093     0              3.5585778      11.842662    
     90000   1.8526225      0.80462534     0              3.5822021      12.253278    
     90500   1.8020827      0.71968548     0              3.4214897      11.214641    
     91000   1.8215019      0.71815813     0              3.4490768      11.390175    
     91500   1.7919885      0.73002868     0              3.4166989      11.476708    
     92000   1.7704276      0.7564882      0              3.4108329      11.506821    
     92500   1.7913702      0.74044409     0              3.4261874      11.568916    
     93000   1.7777113      0.69952727     0              3.3647922      11.175122    
     93500   1.7433358      0.78397512     0              3.3977019      11.914873    
     94000   1.7974673      0.73023941     0              3.4251239      11.472881    
     94500   1.7174185      0.66034616     0              3.235216       10.774935    
     95000   1.692012       0.70756326     0              3.244342       11.119133    
     95500   1.7037898      0.68099765     0              3.2354345      10.922708    
     96000   1.6744097      0.70078655     0              3.2111747      10.93972     
     96500   1.6964355      0.63982609     0              3.1832369      10.513544    
     97000   1.6581797      0.67122031     0              3.1572754      10.711406    
     97500   1.6614635      0.6610438      0              3.1520221      10.614103    
     98000   1.6459105      0.68914531     0              3.1568056      10.99386     
     98500   1.6301895      0.63794436     0              3.0820347      10.375237    
     99000   1.6186978      0.66159192     0              3.088453       10.550359    
     99500   1.5857326      0.60111789     0              2.9785554      10.013302    
    100000   1.5151824      0.60238547     0              2.8740493      9.9584248    
    100500   1.5213181      0.59362757     0              2.8744905      9.8912006    
    101000   1.5170544      0.58246384     0              2.8569343      9.7864984    
    101500   1.4755735      0.60706798     0              2.8193476      9.9267071    
    102000   1.4607684      0.5885933      0              2.7786761      9.7782937    
    102500   1.4841369      0.56623529     0              2.7913536      9.4865374    
    103000   1.4734079      0.56896124     0              2.777994       9.6605618    
    103500   1.4720493      0.5568505      0              2.7638463      9.423867     
    104000   1.4655434      0.53339252     0              2.7306342      9.3004597    
    104500   1.4226076      0.56521709     0              2.6980865      9.3902095    
    105000   1.4058487      0.56964111     0              2.6773845      9.4456629    
    105500   1.4284908      0.5654678      0              2.7071577      9.5199045    
    106000   1.3860652      0.56834236     0              2.646425       9.4225714    
    106500   1.388095       0.53548972     0              2.6166156      9.1147168    
    107000   1.3870555      0.52094275     0              2.6005101      8.9600525    
    107500   1.345529       0.50999886     0              2.5273069      8.8538208    
    108000   1.340294       0.50920643     0              2.5186658      8.8763751    
    108500   1.3331858      0.54007269     0              2.538875       9.2076762    
    109000   1.2986678      0.5236647      0              2.4707152      8.8815085    
    109500   1.2805915      0.53284264     0              2.452792       9.0923906    
    110000   1.2888033      0.4548106      0              2.3870716      8.21501      
    110500   1.2832779      0.49929865     0              2.4232756      8.6586706    
    111000   1.2244126      0.46347698     0              2.299199       8.2446731    
    111500   1.1995543      0.4816063      0              2.2800592      8.4281473    
    112000   1.2325598      0.45155173     0              2.2994887      8.0928691    
    112500   1.2118564      0.43917951     0              2.2560766      7.977054     
    113000   1.1603649      0.49318198     0              2.2328794      8.5772987    
    113500   1.1183737      0.41802171     0              2.0947632      7.6716074    
    114000   1.1309493      0.42888445     0              2.12448        7.7335782    
    114500   1.0968133      0.41279935     0              2.0572159      7.577672     
    115000   1.1119409      0.41526139     0              2.0823583      7.6172048    
    115500   1.0798976      0.44629336     0              2.0653488      7.9678888    
    116000   1.1074369      0.39239587     0              2.0527401      7.3243785    
    116500   1.0787665      0.38760501     0              2.0049646      7.3990296    
    117000   1.0397225      0.37548465     0              1.9343068      7.1470535    
    117500   1.0395477      0.35202253     0              1.9105826      6.8096142    
    118000   1.017858       0.35906872     0              1.8851103      6.9251007    
    118500   0.99568764     0.39084932     0              1.8836515      7.2516515    
    119000   1.0073852      0.37506419     0              1.8854042      7.0396311    
    119500   0.98575974     0.36044424     0              1.8383619      6.9100564    
    120000   0.97160571     0.34441176     0              1.8011087      6.7217594    
    120500   0.93250305     0.34804288     0              1.7461145      6.6967361    
    121000   0.93330558     0.33074955     0              1.7300244      6.5145047    
    121500   0.92188403     0.32688515     0              1.709036       6.5096389    
    122000   0.92840111     0.30419172     0              1.6961134      6.2133397    
    122500   0.91419039     0.33774018     0              1.7083562      6.5112096    
    123000   0.87963383     0.32335046     0              1.6421569      6.4133292    
    123500   0.88252342     0.3041022      0              1.6272409      6.1716524    
    124000   0.8423559      0.31929547     0              1.5822124      6.2597498    
    124500   0.87863983     0.28538006     0              1.6026963      5.9104187    
    125000   0.81630603     0.3113016      0              1.5351628      6.2213905    
    125500   0.82916868     0.28183201     0              1.5249777      5.82399      
    126000   0.82403567     0.29634232     0              1.5317923      5.9569134    
    126500   0.78462215     0.27583473     0              1.4521933      5.7087666    
    127000   0.79082995     0.27401525     0              1.4596809      5.6598483    
    127500   0.73914332     0.26959728     0              1.3777709      5.5531021    
    128000   0.73638839     0.24528624     0              1.3493295      5.2706609    
    128500   0.72341078     0.24931181     0              1.3338981      5.2460304    
    129000   0.72185365     0.2526133      0              1.3348651      5.3168297    
    129500   0.68554271     0.22458466     0              1.2523966      4.966845     
    130000   0.67828102     0.21516908     0              1.2320938      4.9017765    
    130500   0.65951881     0.20772508     0              1.1965203      4.7289695    
    131000   0.64336061     0.21275569     0              1.1773254      4.7892348    
    131500   0.62981717     0.20534375     0              1.1496082      4.7027727    
    132000   0.61287487     0.19485419     0              1.1137176      4.4567519    
    132500   0.60613728     0.19533321     0              1.1040952      4.5640314    
    133000   0.61190435     0.19751056     0              1.1149189      4.4894469    
    133500   0.57727304     0.1931509      0              1.0586377      4.3826124    
    134000   0.57572051     0.17616011     0              1.0393192      4.2395483    
    134500   0.5536465      0.16560884     0              0.99567309     3.9949058    
    135000   0.54106231     0.16621019     0              0.97740737     4.0729473    
    135500   0.51357254     0.1644391      0              0.93442176     3.9651097    
    136000   0.50420257     0.15666429     0              0.91259886     3.8942709    
    136500   0.49695789     0.15223241     0              0.89730525     3.7886018    
    137000   0.47255526     0.16456689     0              0.87305367     3.9510216    
    137500   0.47079408     0.14198762     0              0.84783392     3.6428887    
    138000   0.44386702     0.13218437     0              0.7976598      3.3989085    
    138500   0.42588511     0.1224275      0              0.76094324     3.2975412    
    139000   0.41797293     0.12157983     0              0.7482331      3.242125     
    139500   0.40638144     0.12801073     0              0.73728525     3.3391482    
    140000   0.40229793     0.10932368     0              0.71247592     2.9915809    
    140500   0.37516152     0.10633787     0              0.66880537     2.9262832    
    141000   0.35709447     0.096284128    0              0.63166429     2.7513696    
    141500   0.34312816     0.093305567    0              0.6077465      2.6784124    
    142000   0.3366496      0.085485289    0              0.59021311     2.5416999    
